millis,display_altitude_ft,raw_altitude_ft,vario_mps,temp_f,humidity_pct,gps_fix,latitude,longitude,gps_altitude_m,gps_speed_kmph,gps_sats_used,gps_sats_seen,gps_hdop,battery_voltage,battery_percent
978259,3.09,-213.39,0.00,76.8,36.2,1,26.806808,-80.273825,8.80,0.04,12,11,0.60,,
983300,3.06,-213.43,0.01,76.8,36.2,1,26.806808,-80.273832,9.80,0.07,12,2,0.66,,
988345,3.07,-213.46,-0.00,76.8,36.3,1,26.806806,-80.273837,10.50,0.09,12,11,0.64,,
993385,3.12,-213.37,0.01,76.9,36.4,1,26.806806,-80.273838,10.70,0.09,12,2,0.61,,
998416,3.09,-213.43,0.00,76.9,36.4,1,26.806806,-80.273839,10.30,0.20,12,3,0.62,,
1003448,3.10,-213.43,-0.01,76.8,36.5,1,26.806807,-80.273837,10.10,0.09,12,3,0.63,,
1008448,3.12,-213.37,0.01,76.8,36.5,1,26.806806,-80.273835,9.50,0.22,12,11,0.66,,
1013502,3.16,-213.33,0.01,76.9,36.6,1,26.806806,-80.273837,9.40,0.19,12,2,0.70,,
1018530,3.15,-213.36,-0.00,76.9,36.6,1,26.806808,-80.273839,10.50,0.22,12,3,0.63,,
1023549,3.15,-213.38,-0.00,76.9,36.6,1,26.806808,-80.273839,11.60,0.30,12,3,0.66,,
1028585,3.17,-213.33,0.01,76.9,36.7,1,26.806807,-80.273839,12.30,0.11,12,10,0.64,,
